ROW_NO	LONG_YN	DEAL_YN	PRDT_CD	PRDT_NM	MODEL_NM	PRDT_3PL_CD	PRDT_TP	PRDT_TP_CD	PRDT_TP_NM	STCK_TP	STCK_TP_CD	STCK_TP_NM	WHSE_CD	WHSE_NM	STCK_SUM_QTY	STCK_RSV_QTY	STCK_CAN_QTY	MAJ_CTGR_CD	MAJ_CTGR_NM	MID_CTGR_CD	MID_CTGR_NM	MIN_CTGR_CD	MIN_CTGR_NM	PM_EMPY_CD	PM_EMPY_NM	INV_COST_PR	INV_COST_AMT	UPDATE_ON	MAKR_ID	MAKR_NM	CUST_T2_NM	PURC_ORD_EMPY_CD	PURC_ORD_EMPY_NM	USD_PURC_PR	UPD_DTM
1	Y	N	MP202301150220	Logitech Compute Mount	952-000097	GD202206230027	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	24	0	24	MC00000003	Logitech VC	MC00000016	Option	MC00000064	Mount			121003.2	2904076.8	2025-01-24T16:04:31.503	100042	Logitech				86.4	2025-01-24T16:04:31.5
2	Y	N	MP202501230029	Logitech Compute Mount	952-000097	GD202206230027	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	4	0	4	MC00000003	Logitech VC	MC00000016	Option	MC00000064	Mount			125781.12	503124.48	2025-06-23T17:55:00.917	100042	Logitech	BASE	ME00000020	김민회	86.4	2025-01-24T09:52:57
3	Y	N	MP202504230043	Logitech Compute Mount	952-000097	GD202206230027	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	53	0	53	MC00000003	Logitech VC	MC00000016	Option	MC00000064	Mount			120000.0	6360000.0	2025-10-01T17:38:28.02	100042	Logitech	재고이관	ME00000020	김민회	0.0	2025-05-02T09:12:49.693
4	Y	N	MP202508060020	Mic Pod Mount White	952-000020	GD202106070143	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	20	0	20	MC00000003	Logitech VC	MC00000016	Option	MC00000064	Mount			68856.48	1377129.6	2025-12-22T17:05:28.273	100042	Logitech	BASE	ME00000020	김민회	49.68	2025-08-13T17:40:50.42
5	N	N	MP202511120009	Mic Pod Mount White	952-000020	GD202106070143	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	40	0	40	MC00000003	Logitech VC	MC00000016	Option	MC00000064	Mount			72458.28	2898331.2	2025-11-18T14:01:07.733	100042	Logitech	BASE	ME00000020	김민회	49.68	2025-11-18T14:01:07.73
6	N	N	MP202509180023	Mic Pod Mount White	952-000020	GD202106070143	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	14	0	14	MC00000003	Logitech VC	MC00000016	Option	MC00000064	Mount			69234.05	969276.7	2025-12-01T12:50:01.333	100042	Logitech	BASE	ME00000020	김민회	49.68	2025-09-24T14:51:35.183
7	N	N	MP202512010035	Mic Pod Pendant Mount	952-000123	GD202212190048	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	32	0	32	MC00000003	Logitech VC	MC00000016	Option	MC00000064	Mount			123135.6	3940339.2	2025-12-02T16:26:46.963	100042	Logitech	BASE	ME00000020	김민회	84.0	2025-12-02T16:26:46.963
8	N	N	MP202512170004	Rally Mic Pod Mount	952-000002	GD202101150011	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	40	0	40	MC00000003	Logitech VC	MC00000016	Option	MC00000064	Mount			73148.83	2925953.2	2025-12-18T16:32:33.397	100042	Logitech	BASE	ME00000020	김민회	49.68	2025-12-18T16:32:33.397
9	N	N	MP202511120007	Rally Mic Pod Mount	952-000002	GD202101150011	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	80	0	80	MC00000003	Logitech VC	MC00000016	Option	MC00000064	Mount			72458.28	5796662.4	2025-11-18T14:01:07.757	100042	Logitech	BASE	ME00000020	김민회	49.68	2025-11-18T14:01:07.753
10	Y	N	MP202502030020	Rally Mic Pod Mount	952-000002	GD202101150011	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	1	1	0	MC00000003	Logitech VC	MC00000016	Option	MC00000064	Mount			72036.0	72036.0	2025-12-19T11:35:01.543	100042	Logitech	BASE	ME00000020	김민회	49.68	2025-02-11T15:50:24.947
11	N	N	MP202509180022	Rally Mic Pod Mount	952-000002	GD202101150011	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	76	0	76	MC00000003	Logitech VC	MC00000016	Option	MC00000064	Mount			69234.05	5261787.8	2025-12-19T15:45:01.913	100042	Logitech	BASE	ME00000020	김민회	49.68	2025-09-24T14:51:35.227
12	N	N	MP202509180015	Rally Mounting Kit	939-001644	GD202101150009	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	30	0	30	MC00000003	Logitech VC	MC00000016	Option	MC00000064	Mount			149505.41	4485162.3	2025-11-04T11:50:02.057	100042	Logitech	BASE	ME00000020	김민회	107.28	2025-09-24T14:51:35.45
13	N	N	MP202511120002	Rally Mounting Kit	939-001644	GD202101150009	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	80	0	80	MC00000003	Logitech VC	MC00000016	Option	MC00000064	Mount			156467.88	12517430.4	2025-11-18T14:01:07.867	100042	Logitech	BASE	ME00000020	김민회	107.28	2025-11-18T14:01:07.863
14	Y	N	MP202508060014	Rally Mounting Kit	939-001644	GD202101150009	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	63	0	63	MC00000003	Logitech VC	MC00000016	Option	MC00000064	Mount			148690.08	9367475.04	2025-11-15T14:05:02.21	100042	Logitech	BASE	ME00000020	김민회	107.28	2025-08-13T17:40:50.513
15	Y	N	MP202507160006	Rally Mounting Kit	939-001644	GD202101150009	GD	GD	상품	0	0	양품	MW10000001	대여데모가상창고	1	0	1	MC00000003	Logitech VC	MC00000016	Option	MC00000064	Mount			147295.44	147295.44	2025-11-06T18:20:01.38	100042	Logitech	BASE	ME00000020	김민회	107.28	2025-07-16T11:03:40.66
16	Y	N	MP202507160006	Rally Mounting Kit	939-001644	GD202101150009	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	3	0	3	MC00000003	Logitech VC	MC00000016	Option	MC00000064	Mount			147295.44	441886.32	2025-12-19T15:45:01.913	100042	Logitech	BASE	ME00000020	김민회	107.28	2025-07-16T11:03:40.66
17	Y	N	MP202504230050	Scribe Glass Mount	952-000120	GD202212190047	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	41	0	41	MC00000003	Logitech VC	MC00000016	Option	MC00000064	Mount			58000.0	2378000.0	2025-09-16T11:35:01.363	100042	Logitech	재고이관	ME00000020	김민회	0.0	2025-05-02T09:12:49.62
18	Y	N	MP202504230049	Scribe Polarizer	952-000116	GD202212190046	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	48	0	48	MC00000003	Logitech VC	MC00000016	Option	MC00000064	Mount			205000.0	9840000.0	2025-09-16T11:35:01.363	100042	Logitech	재고이관	ME00000020	김민회	0.0	2025-05-02T09:12:49.637
19	Y	N	MP202508060023	Tap Riser Mount	952-000080	GD202203220038	GD	GD	상품	0	0	양품	MW00000001	본사임시창고	4	0	4	MC00000003	Logitech VC	MC00000016	Option	MC00000064	Mount			249466.14	997864.56	2025-11-21T11:17:18.277	100042	Logitech	BASE	ME00000020	김민회	179.99	2025-08-13T17:40:50.363
20	Y	N	MP202508060023	Tap Riser Mount	952-000080	GD202203220038	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	5	0	5	MC00000003	Logitech VC	MC00000016	Option	MC00000064	Mount			249466.14	1247330.7	2025-12-16T15:00:01.307	100042	Logitech	BASE	ME00000020	김민회	179.99	2025-08-13T17:40:50.363
21	N	N	MP202511120013	Tap Riser Mount	952-000080	GD202203220038	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	24	0	24	MC00000003	Logitech VC	MC00000016	Option	MC00000064	Mount			262515.41	6300369.84	2025-11-18T14:01:07.643	100042	Logitech	BASE	ME00000020	김민회	179.99	2025-11-18T14:01:07.643
22	N	N	MP202509180027	Tap Riser Mount	952-000080	GD202203220038	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	16	0	16	MC00000003	Logitech VC	MC00000016	Option	MC00000064	Mount			250834.06	4013344.96	2025-09-24T14:51:35.063	100042	Logitech	BASE	ME00000020	김민회	179.99	2025-09-24T14:51:35.063
23	Y	N	MP202504230070	Tap Scheduler Angle Mount (White)	952-000127	GD202504220660	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	40	0	40	MC00000003	Logitech VC	MC00000016	Option	MC00000064	Mount			108000.0	4320000.0	2025-05-14T10:27:20.447	100042	Logitech	재고이관	ME00000020	김민회	0.0	2025-05-02T09:12:49.327
24	N	N	MP202512170006	Tap Scheduler Angle Mount-Graphite	952-000126	GD202212190049	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	12	0	12	MC00000003	Logitech VC	MC00000016	Option	MC00000064	Mount			111902.4	1342828.8	2025-12-18T16:32:33.36	100042	Logitech	BASE	ME00000020	김민회	76.0	2025-12-18T16:32:33.36
25	Y	N	MP202508060026	Tap Scheduler Angle Mount-Graphite	952-000126	GD202212190049	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	40	0	40	MC00000003	Logitech VC	MC00000016	Option	MC00000064	Mount			105336.0	4213440.0	2025-08-13T17:40:50.31	100042	Logitech	BASE	ME00000020	김민회	76.0	2025-08-13T17:40:50.31
26	Y	N	MP202501230030	Tap Scheduler Angle Mount-Graphite	952-000126	GD202212190049	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	7	0	7	MC00000003	Logitech VC	MC00000016	Option	MC00000064	Mount			110640.8	774485.6	2025-11-07T17:15:01.52	100042	Logitech	BASE	ME00000020	김민회	76.0	2025-01-24T09:52:57
27	Y	N	MP202508060017	Tap Table Mount	939-001811	GD202109270172	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	11	0	11	MC00000003	Logitech VC	MC00000016	Option	MC00000064	Mount			249466.14	2744127.54	2025-11-04T11:50:02.057	100042	Logitech	BASE	ME00000020	김민회	179.99	2025-08-13T17:40:50.457
28	Y	N	MP202505150004	Tap Table Mount	939-001811	GD202109270172	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	20	0	20	MC00000003	Logitech VC	MC00000016	Option	MC00000064	Mount			254829.84	5096596.8	2025-05-16T16:21:09.56	100042	Logitech	BASE	ME00000020	김민회	179.99	2025-05-16T16:21:09.557
29	Y	N	MP202504230029	Tap Table Mount	939-001811	GD202109270172	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	30	0	30	MC00000003	Logitech VC	MC00000016	Option	MC00000064	Mount			254000.0	7620000.0	2025-07-07T09:25:01.707	100042	Logitech	재고이관	ME00000020	김민회	0.0	2025-05-02T09:12:49.877
30	N	N	MP202512050024	Tap Wall Mount	939-001817	GD202101180150	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	12	0	12	MC00000003	Logitech VC	MC00000016	Option	MC00000064	Mount			264855.285	3178263.42	2025-12-05T16:55:15.137	100042	Logitech	BASE	ME00000020	김민회	179.99	2025-12-05T16:55:15.133
31	N	N	MP202511120005	Tap Wall Mount	939-001817	GD202101180150	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	7	0	7	MC00000003	Logitech VC	MC00000016	Option	MC00000064	Mount			262515.41	1837607.87	2025-11-19T08:00:02.963	100042	Logitech	BASE	ME00000020	김민회	179.99	2025-11-18T14:01:07.797
32	N	N	MP202511120001	TV Mount for MeetUp	939-001498	GD202010230039	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	84	0	84	MC00000003	Logitech VC	MC00000016	Option	MC00000064	Mount			90718.7	7620370.8	2025-11-18T14:01:07.89	100042	Logitech	BASE	ME00000020	김민회	62.2	2025-11-18T14:01:07.887
