겨,제품,Tag,사용 현황,제품 PN,제품 위치
1923LZ52HEG9,Rally System,Rally System,대여 가능,960-001218,2층 창고
1832LZ0P35D9,Rally Camera,Rally Camera #1,대여 가능,960-001226,2층 창고
2323LZ52MTV9,Rally Camera,Rally Camera #2,대여 가능,960-001226,2층 창고
2138FDAKQQD9,Rally Bar,Rally Bar white,사용중,97855171337,2층 창고
2345FD2KBUB9,Rally Bar Mini,Rally Bar Mini,사용중,960-001395,2층 창고
2102LZ51B8JM,Rally Plus,Rally Plus,대여 가능,960-001224,2층 창고
"2115LZ53HFC9 (속박스)
2115LZ511ELM (겉박스)",Rally Plus,Rally Plus,대여 가능,960-001224,2층 창고
2132LZ51X599,MeetUp,Meet up #1,대여 가능,960-001101,2층 창고
2310LZ51HYX9,MeetUp,Meet up #2,대여 가능,960-001101,2층 창고
2120WD0078E9,TAP,Meet up #2,대여 가능,939-001950,　
2412FDJXA979,TAP IP,TAP IP,사용중,97855170002,2층 창고
2329LZ50C489,Sight,Sight,대여 가능,97855181596,2층 창고
2146FDGM4JX9,Roommate,Roommate,사용중,950-000084,　
2231LX102W19,Logi Dock,Logi Dock Graphite,사용중,986-000024,　
2328WY002248,Logi Dock Flex,Logi Dock Flex #1,대여 가능,939-002180,2층 창고
2328WY002268,Logi Dock Flex,Logi Dock Flex #2,대여 가능,939-002180,2층 창고
2342WY001Y58,Logi Dock Flex,Logi Dock Flex #3,대여 가능,939-002180,2층 창고
2240LZ525XQ9,Brio,Brio,사용중,960-001105,2층 창고
0WDCTFQI2210832B,Chromebox for Google,Chromebox for Google,사용중,GQE15C,　
2228WD01B2C9,SWYTCH,SWYTCH 1,대여 가능,952-000014,2층 창고
2202WD08A2D9,SWYTCH,SWYTCH 2,대여 가능,952-000014,2층 창고
2252LZ542JR9,Rally Mic Pod Extension Cable,Rally Mic Pod Extension Cable EU/AP White,대여 가능,952-000047,2층 창고
2120WD00F749,CAT5E Kit for TAP,CAT5E Kit for TAP,대여 가능,　,　
OTTV01,TV Mount for Video Bars,TV Mount for Video Bars,사용중,952-000041,2층 창고
OTWALL01,Wall Mount For Video Bars,Wall Mount For Video Bars,사용중,952-000044,2층 창고
2445VSXT07C9,Extend,Extend #1,사용중,952-000198,2층 창고
2445VS4T07M9,Extend,Extend #2,대여 가능,952-000198,2층 창고
